total_consumption,sun_radiation_north,adjusted_radiation,heater-2_lag_1,mean_room_temperature,is_weekend,hvac_temp_interaction,wind_x,wind_speed,temp_diff,sun_radiation_west,time,total_hvac_consump,hvac-1,hvac_heater_interaction,sun_radiation_perpendicular,total_consumption_lag_1,hvac-2_lag_1,heater-1,outside_temperature,clouds,hvac-1_lag_1,wind_y,wind_temp_interaction,solar_temp_interaction,wind_direction_radians,hvac-2,heater-2,dominant_radiation,total_solar_radiation,month,sun_radiation_south,day_of_week,temp_diff_lag_1,sun_radiation_east,heater-1_lag_1,wind_direction,heater_temp_interaction,hour_sin,hour_cos,hour_sin,hour_cos
92.23333168029787,97.0344827586207,-71858.44827586207,20.933333079020183,21.377648550917705,True,792.3981512075476,-1.7579835366939371,5.14,-13.197648550917705,102.82758620689656,12,37.06666564941406,18.76666641235352,2044.8443647596582,830.1379310344828,94.50000063578288,18.333332697550457,34.26666641235352,8.18,56.0,18.700000762939453,4.830020070839569,109.881113551717,27930.266411921413,1.9198621771937625,18.299999237060547,20.899999618530277,846.1379310344828,1306.5172413793105,3,846.1379310344828,5,-13.536888016843132,260.51724137931035,36.53333409627279,110.0,1179.333598134084,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
90.42499876022339,98.0344827586207,-68825.86206896552,20.899999618530277,21.440959209865994,True,797.9610087531282,3.4657504415870095e-16,5.66,-11.840959209865995,186.9655172413793,13,37.21666558583577,18.84999942779541,1980.2367421309154,833.7586206896551,92.23333168029787,18.299999237060547,32.27500009536743,9.6,56.0,18.76666641235352,5.66,121.35582912784153,26830.772749173688,1.5707963267948966,18.366666158040363,20.933333079020183,859.551724137931,1251.3793103448277,3,859.551724137931,5,-13.197648550917705,106.82758620689656,34.26666641235352,90.0,1140.8377012170045,-0.25881904510252035,-0.9659258262890684,-0.25881904510252035,-0.9659258262890684
89.1666660308838,93.0344827586207,-102308.8275862069,20.933333079020183,21.43092365200321,True,800.0878027160389,-1.07140925620496,6.17,-11.280923652003208,399.3793103448276,14,37.33333269755046,18.899999618530277,1935.1110781563657,814.4827586206897,90.42499876022339,18.366666158040363,30.900000254313152,10.15,75.0,18.84999942779541,6.076263836085324,132.2287989328598,29629.360444945403,1.7453292519943295,18.433333079020183,20.933333079020183,795.1034482758621,1382.5517241379312,3,795.1034482758621,5,-11.840959209865995,95.0344827586207,32.27500009536743,100.0,1110.8362092954997,-0.5000000000000001,-0.8660254037844386,-0.5000000000000001,-0.8660254037844386
88.45833253860474,81.82758620689656,-102232.27586206897,20.933333079020183,21.317340357684422,True,795.669714619711,-0.9828486855948255,5.66,-10.867340357684423,559.4827586206897,15,37.32499933242798,18.84999942779541,1908.5516277853649,763.2758620689655,89.1666660308838,18.433333079020183,30.233333587646484,10.45,75.0,18.899999618530277,5.574011882049097,120.65614642449383,29450.273244492026,1.7453292519943295,18.47499990463257,20.899999618530277,658.1724137931035,1381.5172413793105,3,658.1724137931035,5,-11.280923652003208,82.0344827586207,30.900000254313152,100.0,1090.026667578957,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,-0.7071067811865477
87.94999885559082,64.62068965517241,-89279.72413793103,20.899999618530277,21.201081597258646,True,790.800327402606,-1.7579835366939371,5.14,-11.001081597258647,616.9310344827586,16,37.29999923706055,18.866666158040363,1889.2449471282962,660.1724137931035,88.45833253860474,18.47499990463257,29.75,10.2,75.0,18.84999942779541,4.830020070839569,108.97355940990944,25578.739411202947,1.9198621771937625,18.433333079020183,20.899999618530277,616.9310344827586,1206.4827586206895,3,461.1034482758621,5,-10.867340357684423,63.82758620689656,30.233333587646484,110.0,1073.8347748135795,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004
87.48333326975505,41.20689655172414,-79148.79310344826,20.899999618530277,20.968511270102525,True,776.8833465567246,-1.7579835366939371,5.14,-11.888511270102525,493.1724137931034,17,37.05000019073486,18.65000057220459,1868.5550001970928,450.1724137931035,87.94999885559082,18.433333079020183,29.600000381469727,9.08,100.0,18.866666158040363,4.830020070839569,107.77814792832697,16763.963234390583,1.9198621771937625,18.399999618530277,20.833332697550457,493.1724137931034,799.4827586206895,3,224.68965517241375,5,-11.001081597258647,40.41379310344827,29.75,110.0,1057.5119130562693,-0.9659258262890683,-0.25881904510252063,-0.9659258262890683,-0.25881904510252063
87.29999923706056,15.06896551724138,-22612.965517241377,20.833332697550457,20.706401056299608,True,762.6857590755938,-0.8039910625978873,4.63,-12.846401056299609,161.0,18,36.83333269755046,18.53333346048991,1858.8555187861132,129.27586206896552,87.48333326975505,18.399999618530277,29.63333384195964,7.86,100.0,18.65000057220459,4.559659896446523,95.87063689066719,4729.627606790641,1.7453292519943295,18.299999237060547,20.833332697550457,161.0,228.41379310344826,3,38.86206896551724,5,-11.888511270102525,13.482758620689657,29.600000381469727,100.0,1044.983037341632,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
90.5666650136312,0.0,-0.0,20.833332697550457,20.437011304265923,True,751.7413822503626,3.1473422738086974e-16,5.14,-13.397011304265924,0.0,19,36.7833325068156,18.449999809265137,1978.330202922822,0.0,87.29999923706056,18.299999237060547,32.94999980926514,7.04,100.0,18.53333346048991,5.14,105.04623810392684,0.0,1.5707963267948966,18.333332697550457,20.833332697550457,0.0,0.0,3,0.0,5,-12.846401056299609,0.0,29.63333384195964,90.0,1099.1705744228832,-0.9659258262890684,0.2588190451025203,-0.9659258262890684,0.2588190451025203
94.66666666666667,0.0,-0.0,20.833332697550457,20.203453017870583,True,744.1605066465571,3.1473422738086974e-16,5.14,-13.793453017870583,0.0,20,36.83333269755046,18.433333079020183,2130.194431093004,0.0,90.5666650136312,18.333332697550457,36.93333435058594,6.41,90.0,18.449999809265137,5.14,103.8457485118548,0.0,1.5707963267948966,18.399999618530277,20.899999618530277,0.0,0.0,3,0.0,5,-13.397011304265924,0.0,32.94999980926514,90.0,1168.4330457118583,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001
94.4333324432373,0.0,-0.0,20.899999618530277,20.01174996851219,True,734.4312009427671,3.4657504415870095e-16,5.66,-13.691749968512191,0.0,21,36.69999885559082,18.399999618530277,2118.813276596069,0.0,94.66666666666667,18.399999618530277,36.86666742960612,6.32,90.0,18.433333079020183,5.66,113.26650482177901,0.0,1.5707963267948966,18.299999237060547,20.866666158040363,0.0,0.0,3,0.0,5,-13.793453017870583,0.0,36.93333435058594,90.0,1155.3450366046884,-0.7071067811865477,0.7071067811865474,-0.7071067811865477,0.7071067811865474
